order_id,order_date,customer_id,product_category,price,quantity,order_value,payment_method,city,state,customer_age
1,2024-02-02,2616,Sports,269,50,13385,credit_card,New York,NY,66.0
2,2024-10-10,1736,Grocery,66,0,660,debit_card,Los Angeles,CA,24.0
3,2024-08-27,2543,Sports,267,0,5073,credit_card,Chicago,IL,23.0
4,2024-06-09,2252,Toys,114,125,14290,credit_card,New York,NY,70.0
5,2024-06-07,1583,Fashion,729,16,11754,credit_card,Houston,TX,75.0
6,2024-11-10,2824,Toys,459,29,13347,debit_card,New York,NY,57.0
7,2024-02-01,1868,Fashion,446,24,10868,credit_card,Seattle,WA,75.0
8,2024-09-12,1301,Toys,477,0,2862,paypal,Los Angeles,CA,38.0
9,2024-03-14,2925,Beauty,55,1,45819,credit_card,Boston,MA,40.0
10,2024-02-04,2826,Sports,1710,0,23940,debit_card,Seattle,WA,28.0
11,2024-07-11,1099,Sports,462,31,14524,paypal,Denver,CO,67.0
12,2024-12-23,2804,Fashion,655,20,12876,debit_card,Phoenix,AZ,60.0
13,2024-09-26,2894,Beauty,401,0,6817,credit_card,Chicago,IL,32.0
14,2024-10-05,2658,Toys,914,15,13843,credit_card,Denver,CO,80.0
15,2024-09-19,1509,Sports,562,0,3372,credit_card,Houston,TX,19.0
16,2024-10-14,2262,Electronics,459,26,11984,credit_card,Boston,MA,66.0
17,2024-07-06,2076,Electronics,1534,0,23010,paypal,Boston,MA,31.0
18,2024-02-16,2240,Electronics,1721,9,14703,credit_card,Denver,CO,67.0
19,2024-11-03,2232,Beauty,107,0,963,credit_card,Miami,FL,
20,2024-06-13,2278,Beauty,275,0,275,paypal,Seattle,WA,32.0
21,2024-07-02,2028,Electronics,1098,0,10980,credit_card,Houston,TX,21.0
22,2024-05-15,2380,Electronics,506,27,13601,paypal,Phoenix,AZ,57.0
23,2024-03-07,2053,Beauty,418,0,8360,credit_card,Boston,MA,28.0
24,2024-12-05,1032,Sports,389,0,4279,credit_card,Seattle,WA,46.0
25,2024-10-13,1070,Fashion,309,35,10768,debit_card,New York,NY,77.0
26,2024-08-23,2916,Toys,459,28,12751,credit_card,Houston,TX,73.0
27,2024-05-27,2818,Home,1477,0,5908,paypal,Denver,CO,49.0
28,2024-10-28,2171,Home,532,21,11359,credit_card,Los Angeles,CA,64.0
29,2024-07-18,1349,Fashion,455,31,14167,credit_card,Phoenix,AZ,69.0
30,2024-06-11,2562,Grocery,69,203,13914,credit_card,San Francisco,CA,56.0
31,2024-06-13,1286,Beauty,354,0,354,credit_card,Los Angeles,CA,31.0
32,2024-03-24,1754,Home,1618,8,12473,debit_card,Miami,FL,69.0
33,2024-02-03,1659,Sports,1026,0,10260,credit_card,Boston,MA,23.0
34,2024-07-21,1024,Grocery,169,0,1859,credit_card,Houston,TX,50.0
35,2024-11-20,2614,Grocery,159,73,11510,paypal,San Francisco,CA,67.0
36,2024-01-24,2019,Beauty,457,0,8226,credit_card,Phoenix,AZ,53.0
37,2024-11-10,1632,Electronics,727,0,2908,debit_card,Los Angeles,CA,39.0
38,2024-10-29,2014,Home,467,0,3736,credit_card,Los Angeles,CA,44.0
39,2024-04-11,1000,Home,308,0,2156,paypal,Los Angeles,CA,46.0
40,2024-08-19,1873,Home,235,61,14263,credit_card,Seattle,WA,64.0
41,2024-03-01,2039,Home,123,116,14252,debit_card,Los Angeles,CA,80.0
42,2024-10-04,1679,Fashion,146,86,12526,credit_card,Houston,TX,67.0
43,2024-09-13,2660,Sports,497,0,5964,credit_card,Boston,MA,37.0
44,2024-05-09,1499,Fashion,404,0,2020,credit_card,San Francisco,CA,25.0
45,2024-01-25,1275,Fashion,227,0,2724,credit_card,Miami,FL,47.0
46,2024-12-21,2055,Home,586,23,13586,paypal,Seattle,WA,72.0
47,2024-06-12,2774,Home,389,29,11428,credit_card,Miami,FL,57.0
48,2024-11-22,1750,Grocery,234,0,936,cash,Phoenix,AZ,38.0
49,2024-09-05,1093,Toys,268,0,1340,credit_card,Los Angeles,CA,23.0
50,2024-10-11,2939,Home,959,0,9590,credit_card,Boston,MA,33.0
51,2024-10-05,1888,Beauty,287,41,11744,credit_card,Chicago,IL,63.0
52,2024-03-12,1345,Beauty,80,185,14720,credit_card,Denver,CO,60.0
53,2024-05-13,2231,Grocery,459,0,5967,paypal,Phoenix,AZ,46.0
54,2024-06-19,1639,Home,205,0,3075,credit_card,San Francisco,CA,39.0
55,2024-07-01,2875,Toys,280,0,4760,paypal,New York,NY,29.0
56,2024-01-17,1587,Grocery,54,254,13681,credit_card,Phoenix,AZ,79.0
57,2024-07-19,2100,Beauty,332,0,5312,credit_card,Phoenix,AZ,45.0
